_id;event;venue;machine;vendType;productName;transactionDate;quantity;quantitySet;totalStamps;currency;value;paymentStatus;sesionId;etiquetasRollo1;etiquetasRollo2;etiquetaMes;titutoEvento;feria;Lugar;fecha;mes;annio;documento
K7YSgkjN8aYNsuvoD;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;24/10/2019 08:19:30;1;1;1;EUR;0.60;Filatelia;1;0;870;N;París;73 Salon Philatélique d'Automne;Paris;24/10/2019;11;2019;Filatelia
mdABcsGf85QyrQM68;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;24/10/2019 08:21:06;100;1;100;EUR;1.40;Internacional;2;0;869;N;París;73 Salon Philatélique d'Automne;Paris;24/10/2019;11;2019;Internacional
YE8iHWrTHfv9WGiNZ;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;24/10/2019 08:31:30;100;1;100;EUR;1.40;Pasaporte;3;0;769;N;París;73 Salon Philatélique d'Automne;Paris;24/10/2019;11;2019;Pasaporte
wXjsjoKk6Xyh4cSGf;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;24/10/2019 08:33:23;100;1;100;EUR;1.40;Pasaporte;4;0;669;N;París;73 Salon Philatélique d'Automne;Paris;24/10/2019;11;2019;Pasaporte
M2eqCaYhuboiNKugQ;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;24/10/2019 08:36:58;1;1;1;EUR;1.40;Pasaporte;5;0;569;N;París;73 Salon Philatélique d'Automne;Paris;24/10/2019;11;2019;Pasaporte
DcNEpGeP3QKZnyuwP;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;24/10/2019 08:38:58;100;1;100;EUR;1.40;Pasaporte;6;0;568;N;París;73 Salon Philatélique d'Automne;Paris;24/10/2019;11;2019;Pasaporte
oAmwA8pWjeRkF2Jv9;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;24/10/2019 08:40:54;100;1;100;EUR;1.40;Pasaporte;7;0;468;N;París;73 Salon Philatélique d'Automne;Paris;24/10/2019;11;2019;Pasaporte
a9ernqXt73YL8coXZ;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;24/10/2019 08:43:16;100;1;100;EUR;1.40;Pasaporte;8;0;368;N;París;73 Salon Philatélique d'Automne;Paris;24/10/2019;11;2019;Pasaporte
XNwQ5oY6pafikhbuA;QUITAR ROLLO 2; ; ; ; ;; ; ; ; ; ; ; ; ;QUITADO; ; ; ; ; ; ; ; 
bhJSHj4WFqPDZhrGj;QUITAR ROLLO 2; ; ; ; ;; ; ; ; ; ; ; ; ;QUITADO; ; ; ; ; ; ; ; 
eeSs888iTKskHvoBG;COLOCAR ROLLO 2; ; ; ; ;; ; ; ; ; ; ; ; ;COLOCADO; ; ; ; ; ; ; ; 
Pv7uKEk67WMp5kfjp;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019  10:23:14;1;1;1;EUR;0.60;Filatelia;9;0;267;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019  10:23:14;11;2019;Filatelia
qTRDAHzPkumJeAe4t;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019  10:23:14;5;1;5;EUR;1.40;FERIA;10;0;266;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019  10:23:14;11;2019;Facture Simplifiée
zgr2Bqxo3ZaajX68b;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019  10:23:14;2;1;2;EUR;1.50;FERIA;10;0;266;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019  10:23:14;11;2019;Facture Simplifiée
aSeHZQgM87dyJZLg6;7-9 noviembre;París;PA19;Tarifa A Tira 4;Notre Dame;07/11/2019  10:23:14;9;4;36;EUR;2.40;FERIA;10;0;266;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019  10:23:14;11;2019;Facture Simplifiée
